01-NF-000318,ST. RITA COLLEGE-QUIAPO,ARR,Plaza Del Carmen,"Quiapo, Manila",AR,,
01-NN-000715,ST. MARY'S COLLEGE (E),DAT,Panay ave,"Panay Ave., Quezon City",RVM,,
01-NN-000536,OUR LADY OF SACRED HEART SCHOOL,DAT,"Plaridel St.,","Galas, Quezon City",AR,,
01-EH-000035,ST. JOSEPH SCHOOL OF NAGA,DEL,"Panganiban St.,",Naga City,,,
01-EB-000016,LA CONSOLACION COLL.-DAET,DEL,F. Pimentel Avenue,"Daet, Camarines Norte",OSA,,
01-EE-000004,LA CONSOLACION COLLEGE-IRIGA,DEL,San Francisco,Iriga City,OSA,,
01-EC-000078,ST. PAUL ACADEMY,DEL,"Burgos, Goa","Goa, Camarines Sur",SPC,,
01-EC-000084,STA. MONICA'S ACADEMY,DEL,"San Ramon, Baao",Camarines Sur,,,
01-EF-000028,ST. RAPHAEL ACADEMY (E/HS),DEL,"Penaranda St.,",Legazpi City,,,
01-BB-000080,ST. PAUL UNIVERSITY,MAN,Mabini Street,"Tuguegarao City, Cagayan",SPC,,
01-NL-000083,PASIG CATHOLIC COLLEGE (E/HS),SAG,"Malinao St.,",Pasig City,,PASIG,
01-NM-000009,PATEROS CATHOLIC SCHOOL,SAG,338 B. Morcilla Street,"Pateros, Metro Manila",,PASIG,
01-NL-000110/01-NL-000111,ST. PAUL COLLEGE - PASIG (E/HS),SAG,"St. Paul St.,","Meralco Ave., Pasig City",SPC,,
01-DN-000053,CAINTA CATHOLIC COLLEGE,SAG,A. Bonifacio Avenue,"Cainta, Rizal",,,DACSA
01-DN-000255,OUR LADY OF PEACE SCHOOL,SAG,"P. Oliveros St.,  Barangay San jose", Antipolo City,SPC,,
01-NC-000079,ST. PAUL COLLEGE - MAKATI,SAG,P. Burgos Street,Makati City,SPC,,
01-NN-000626,SCH. OF THE HOLY SPIRIT (E/H),SAG,"B.F. Homes,","Capitol Hills, Quezon City",SSPS,,
01-NA-000131,LA CONSOLACION COLL.-KALOOKAN-E/H,SAG,A. Mabini Street,Kalookan City,OSA,,
01-CC-000479/01-CC-000480,ST. PAUL COLL. - BOCAUE (E/HS),SAG,Poblacion,"Bocaue, Bulacan",SPC,,
01-CH-000029,DOMINICAN SCHOOL OF TARLAC,SAG,McArthur Hiway,"Capas, Tarlac",OP-TARLAC,TARLAC,
01-DB-000080,LA CONSOLACION SCHOOL-OLFA (TANAUAN),SAG,"A. Mabini Avenue, Barangay 2","Tanauan City, Batangas",OSA,,
01-NJ-000074,ST. PAUL COLLEGE - PARANAQUE,SAG,"Quirino Avenue,","La Huerta, Paranaque City",SPC,,
01-CC-000530,LA CONSOLACION UNIVERSITY PHILIPPINES,SAG,Catmon,"Malolos, Bulacan",OSA,,MACIPRISA
01-CC-000018/01-CC-000019,ASSUMPTA ACADEMY (E/HS),SAG,"Brgy. Matimbo Road, San Jose","Bulacan, Bulacan",OSA,,
01-NO-000031,ST. JOHN THE BAPTIST CATH. SCH-SAN JUAN,SAG,(Frmly: Holy Child Parochial School) - this is correct,"Pinaglabanan St.,San Juan, M.M.",,Manila,MAPSA
01-NF-000345,THE NAZARENE CATHOLIC SCHOOL-QUIAPO,SAG,(Frmly Quiapo Parochial School) - this is correct,"1053 Rd. Hidalgo,Quiapo, Manila",,Manila,MAPSA
01-DF-000247,LA CONSOLACION SCH. - BINAN,SAG,Sto. Tomas,"Binan, Laguna",OSA,,
01-CC-000235,LA CONSOLACION SCH. - BULACAN,SAG,Longos,"Balagtas, Bulacan",OSA,,
01-NL-000053,LA CONSOLACION SCHOOL - PASIG,SAG,"Mercedez Avenue,",Pasig City,OSA,,
01-CI-000041,ST. AUGUSTINE SCHOOL (E/HS),SAG,Rizal St.,"Iba, Zambales",SPC,IBA,
01-NQ-000105/01-NQ-000106,LA CONSOLACION COLLEGE VALENZUELA (E/HS),SAG,"St. jude Street, Malinta","Malinta, Valenzuela City",OSA,,
01-NF-000147/01-NF-000148,LA CONSOLACION COLL.-MANILA (E/HS),SAG,#8 Mendiola St.,"Mendiola, Manila",OSA,,
01-NL-000023,COL. DEL BUENCONSEJO,SAG,A. Luna Street,"Malinao, Pasig City",,,
01-CC-000484,ST. PAUL SCH.-STA. MARIA,SAG,"R. Mercado St., Poblacion","Sta. Maria, Bulacan",SPC,,
01-NA-000257,ST. GABRIEL ACADEMY,SAG,Caimito Road,Kalookan City,SPC,,
01-DD-000768,ST. PAUL COLLEGE-ISLAND PARK,SAG,"Island Park Subd., Brgy. Paliparan,","Paliparan, Dasmarinas, Cavite",SPC,,
01-DB-000161,ST. PAUL COLLEGE - BALAYAN,SAG, Barangay Caloocan ,"Balayan, Batangas",SPC,,
