01-DD-000597/01-DD-000879,PHIL. CHRISTIAN UNIV. (E/HS)-DASMA.,ONA,"Pala-pala,Dasmarinas,4114","Dasmarinas, Cavite", , ,CAPS
01-NH-000019/01-NH-000020,DE LA SALLE - ZOBEL (E/HS),AGA,"Univ. Ave., Ayala Alabang Village,","Alabang, Muntinlupa City", , ,MUNTINLUPA PRIV SCHOOL
01-NJ-000043/01-NJ-000044,OLIVAREZ COLLEGE (E/HS),AGA,"Dr. A. Santos Ave.,formerly Sucat Road","Sucat Rd., Paranaque City", , ,PSAP
01-DG-000010,DE LA SALLE - LIPA (E/HS),BIE,1962 J.P.Laurel National Highway 4217,"Lipa City, Batangas",FSC - La Salle,,
01-DC-000025/01-DC-000026,ST. BRIDGET'S COLLEGE (E/HS),BIE,M.H. Del Pilar Street,Batangas City,RGS/CGS,,
01-DG-000058/01-DG-000023,MABINI ACADEMY,BIE,"Brgy Balintawak,",Lipa City, , ,APPEAL
01-DB-000164/01-DB-000205,ST. THOMAS ACAD.-STO. TOMAS-E/HS,BIE,"Gen. Malvar Ave.,Gate 2, San Antonio Heights,","Sto. Tomas, Batangas", ,LIPA,USAL
01-DC-000031/01-DC-000039,UNIV. OF BATANGAS (E/HS),BIE,"Kumintang,Ilaya",Batangas City,, ,
01-DB-000114,OUR LADY OF CAYSASAY ACADEMY,BIE,"Calle Camilo Ilagan,","Taal, Batangas", ,LIPA,USAL
01-DH-000023,MARYHILL ACADEMY,BIE,"M.L. Tagarao St.,",4301 Lucena City, ,Lucena,LUDICSA
01-DG-000004,CANOSSA ACADEMY - LIPA CITY,BIE,"J.P. Laurel National Highway beside Robinsons Mall,","Brgy.San Carlos, Lipa City",CANOSSA,,
01-DM-000144/01-DM-000145,ST. JOSEPH ACAD.-SARIAYA(E/HS),BIE,Gen. Luna Street,"Sariaya, Quezon", ,Lucena,LUDICSA
01-DC-000037,PRINCETON SCIENCE SCHOOL,BIE,"Home of Young Achievers-68 Taurus St.,","Lourdes Subd., Bolbok, Batangas City", , ,BCPRISA
01-DG-000044/01-DG-000055,THE LIPA GRACE ACADEMY (E/HS),BIE,(Frmly Grace Learning Center),"#28 B. Morada Ave., Lipa City", , ,APPEAL
01-DH-000004/01-DH-000038,"CALAYAN EDUCATIONAL FOUNDATION, INC.",BIE,"Kalayaan Building, Maharlika Highway,","Red-V, Lucena City",, ,
01-DH-000014,INT'L SCHOOL FOR BETTER BEGINNERS,BIE,"Moscow Ext.,Ph-IV B-2, Northern Hill,","University Village, Lucena City",, ,LCAPS
01-DH-000022,MANUEL ENVERGA UNIV.-LUCENA,BIE,"Granga St.,",Lucena City,, ,LCAPS
01-DM-000059/01-DM-000060,LADY MEDIATRIX INSTITUTE (E/HS),BIE,"De Gala St.,4323","Candelaria, Quezon",AR,,LUDICSA
01-DM-000083/01-DM-000160,MANUEL ENVERGA UNIV.-CANDELARIA,BIE,"Brgy. Malabanban Norte,","Candelaria, Quezon",, ,
01-DM-000127,SARIAYA INSTITUTE (E/H),BIE,"E. Gala St.,","Sariaya, Quezon",, ,
