01-OD-000006/01-OD-000007,CORDILLERA CAREER DEV'T COLL. (E/HS),NL,AGC,"W, Buyagan, Poblacion,","La Trinidad, Benguet", , ,
01-OD-000034,PHILEX MINES ELEMENTARY SCHOOL,NL,AGC,"Pacdal,","Tuba, Benguet", ,BAGUIO,
01-OA-000015/01-OA-000016,DIVINE WORD COLL. OF BANGUED-E/H,NL,AGC,"Centro Zone 6,","Bangued, Abra",SVD,Bangued,
01-OA-000011/01-OA-000043,HOLY SPIRIT ACADEMY (E/HS)-BANGUED,NL,AGC,Parish House,"Bangued, Abra", ,Bangued,
01-AE-000008,HOLY SPIRIT ACADEMY OF LAOAG,NL,AGC,"Bonifacio St.,","Laoag City, Ilocos Norte", , ,
01-AD-000030,SACRED HEART SCHOOL,NL,AGC,"Nera St., Brgy. Central East","Bauang, La Union",FMA - Assumption,LA UNION,
01-AC-000004,CABUGAO INSTITUTE (HS),NL,AGC,"Bonifacio,","Cabugao, Ilocos Sur", , ,
01-AD-000054,UNION CHRISTIAN COLLEGE (E/H),NL,AGC,"Widdeos St.,","San Fernando City, La Union", , ,
01-AE-000005,DON MARIANO MARCOS STATE-LAOAG,NL,AGC,,Laoag City, , ,
01-AB-000008,IMM. CONCEPCION ACADEMY,NL,AGC,"1-S Barangay Valdez, Poblacion","Batac City, Ilocos Norte",SSpS, ,
01-OA-000021,HOLY GHOST SCHOOL,NL,AGC,,"Poblacion, Tayum, Abra", ,Bangued,
01-AC-000076,DIVINE WORD COLLEGE OF VIGAN (HS),NL,AGC,"Burgos St.,","Vigan City, Ilocos Sur",,,
01-AD-000003,AGOO MONTESSORI LEARNING CENTER,NL,AGC,"Aspiras Road Brgy. San Antonio,","Agoo, La Union", , ,
01-OA-000020,HOLY CROSS SCHOOL (E/H),NL,AGC,,"Poblacion, Lagangilang, Abra",,Bangued,
01-AE-000023,SAVIOUR CHRISTIAN ACAD.-LAOAG,NL,AGC,"B. Samonte St.,",Laoag City, , ,
01-OC-000040,PINES CITY COLLEGES (E/HS),NL,AGC,"Magsaysay Ave.,",Baguio City,,,
01-AC-000027,NARVACAN CATHOLIC SCH. (E/HS),NL,AGC,"Sta. Lucia,","Narvacan, Ilocos Sur",RSC,Nueva Segovia,
01-OD-000018/01-OD-000030,SAN JOSE ELEM./HIGH SCHOOL,NL,AGC,"Poblacion,","La Trinidad, Benguet",SIHM,BAGUIO,
01-AE-000010,ILOCOS NORTE COLL. OF ARTS & TRADES,NL,AGC,,Laoag City, , ,
01-AD-000049,ST. PETER SCHOOL OF BAUANG,NL,AGC,"Central East,","Bauang, La Union", ,LA UNION,
01-OD-000003,BENGUET STATE UNIV. LAB ELEM.,NL,AGC,"Km 5,","La Trinidad, Benguet", , ,
01-OD-000028,TWINKLE STAR EDUC'L CHRISTIAN FDT.,NL,AGC,(Frmly Twinkle Star Sch.) Km 5,"Central Pico, La Trinidad, Benguet", , ,
01-AD-000014/01-AD-000089/01-AD-000065,DON MARIANO MARCOS STATE (E/HS)-SN.FD,NL,AGC,"Catbangen,","San Fernando City, La Union", , ,
01-AC-000069/01-AC-000070,UNIV. OF NORTHERN PHIL. (PE/E/HS),NL,AGC,"Laboratory Grade School,Quirino Boulevard","Tamag, Vigan City Ilocos Sur", , ,
01-AB-000005,BATAC JUNIOR COLLEGE,NL,AGC,"San Marcelino St. Brgy Valdez,","Batac City, Ilocos Norte", , ,
01-OD-000025,ST. PAUL'S ACADEMY,NL,AGC,Poblacion,"Sayang, Atok, Benguet", ,BAGUIO,
01-OC-000047,SPECIAL EDUCATION CENTER-BAGUIO,NL,AGC,"Military Cut-off Road.,",Baguio City, , ,
01-AD-000037,ST. CHRISTOPHER ACADEMY (E/HS)*,NL,AGC,"C. East #1,","Bangar, La Union",FAS,LA UNION,
01-AC-000058,STA. CRUZ INSTITUTE,NL,AGC,"Poblacion Sur,","Sta. Cruz, Ilocos Sur",OSS,Nueva Segovia,
01-OC-000012,BAGUIO SEVENTH DAY ADVENTIST SCH. (E/H),NL,AGC,"Lower Bokawkan Rd.,",Baguio City, , ,
01-OC-000067,BAGUIO CENTRAL UNIVERSITY (E/H),NL,AGC,"#18 Bonifacio St.,",Baguio City,,,
01-AD-000083,POLYTECHNIC COLLEGE OF LA UNION,NL,AGC,,"Agoo, La Union", , ,
01-OD-000020,ST. LOUIS HIGH SCH. OF ANTAMOK,NL,AGC,Poblacion,"Antamok, Itogon, Benguet", ,BAGUIO,
01-AC-000059,STA. LUCIA CATHOLIC SCHOOL,NL,AGC,"Burgos,","Sta. Lucia, Ilocos Sur 2712",OSS,Nueva Segovia,
01-OD-000027,ST. THERESE TOMAY (THERESIANS SCHOOL),NL,AGC,(Frmly: Tacdian Catholic School),"Tomay, La Trinidad, Benguet", ,BAGUIO,
01-OD-000022,ST. LOUIS HIGH SCH. OF PHILEX,NL,AGC,"Philex Mines, Pacdal Tuba,",Benguet, ,BAGUIO,
01-AD-000056,UNION INSTITUTE OF ROSARIO,NL,AGC,"Subusud,","Rosario, La Union", , ,
01-AE-000019,NORTHWESTERN UNIV.-LAB. ELEM. SCH.,NL,AGC,"Airport Ave.,",Laoag City, , ,
01-AC-000002,BENITO SOLIVEN ACADEMY (HS),NL,AGC,Brgy Nalasin,"Sto. Domingo, Ilocos Sur", ,Nueva Segovia,
01-OC-000021,EDUCARE LEARNING CENTER,NL,AGC,Km 6,"Irisan, Baguio City", , ,
01-AE-000011,KIDS KOLLEGE,NL,AGC,"2-B Castro Ave.,",Laoag City, , ,
01-AD-000027/01-AD-000028,PUGO CATHOLIC SCHOOL (E/HS),NL,AGC,"Pugo Road, Tavora East,","Pugo, La Union",TDM,LA UNION,
01-AD-000078/01-AD-000094,DON MARIANO MARCOS STATE-AGOO,NL,AGC,"Dona Toribia Aspiras Road,","Agoo, La Union", , ,
01-AB-000006,"DINGRAS FAITH ACADEMY, INC.",NL,AGC,"Root St. Madamba,","Dingras, Ilocos Norte", , ,
01-AD-000024,NOTRE DAME INSTITUTE (HS),NL,AGC,"Poblacion,","Aringay, La Union", ,LA UNION,
01-OC-000061,STEP LEARNING ACADEMY,NL,AGC,109 Brgy. Ferdinand,"Campo Sioco, Baguio City", , ,
01-AB-000034,GRACELAND SAVIOUR'S INSTITUTION,NL,AGC,(Frmly Our Savior Kindergaten of Batac ),"#35 Bil-loca, Batac City, Ilocos Norte", , ,
01-AD-000036,ST. AUGUSTINE LEARNING SCHOOL,NL,AGC,E Rimanto St. Brgy Natividad,"Naguilian, La Union", ,LA UNION,
01-OD-000036,LA TRINIDAD NAZARENE LEARNERS CENTER,NL,AGC,"Pico,","La Trinidad, Benguet",,,
01-AD-000046,ST. MARY'S ACAD.-ROSARIO(HS),NL,AGC,Bernal St.,"Rosario, La Union", ,LA UNION,
01-OA-000034,SACRED HEART SCHOOL-BANGUED,NL,AGC,Zone 6,"Bangued, Abra", , ,
01-OE-000006,IMM. CONCEPCION SCHOOL,NL,AGC,,"Banaue, Ifugao", , ,
01-AC-000034,SAN JOSE HIGH SCHOOL (HS),NL,AGC,,, ,Nueva Segovia,
01-AC-000055,ST. THOMAS AQUINAS LEARNING CENTER,NL,AGC,"21 Libertad Street, Poblacion,","Vigan City, Ilocos Sur", , ,
01-AE-000003/01-AE-000004,DIVINE WORD COLL. OF LAOAG-E/H,NL,AGC,"Gen. Segundo Ave.,",Laoag City,SVD,Laoag,
01-AE-000009,ILOCOS NORTE ADVENTIST SCHOOL,NL,AGC,Brgy. 19,"F. Guerrero St., Laoag City",SDA NL, ,
01-OC-000055,LOAKAN BAPTIST CHURCH SCHOOL,NL,AGC,"#01 Cudirao,","Loakan Proper, Baguio City", , ,
01-OA-000031/01-OA-000045,OUR LADY OF LOURDES HIGH SCHOOL (PE/HS),NL,AGC,,"Manabu, Abra",,Bangued,
01-OC-000002,BAGUIO ACHIEVERS' ACADEMY,NL,AGC,"#15 S. Laurel St.,",Baguio City, , ,
01-OC-000009,"BAGUIO HIGHER GROUND PRE-SCHOOL, INC.",NL,AGC,Pidawan (EPZA),"Loakan Proper, Baguio City", , ,
01-OD-000026,ST. THERESITA'S HIGH SCHOOL,NL,AGC,Poblacion,"Labueg, Kapangan, Benguet", ,BAGUIO,
01-AD-000099,ST. MICHAEL ARCHANGEL LEARNING CENTER,NL,AGC,"Poblacion,","Bacnotan, La Union",,LA UNION,
01-AD-000039,ST. JOHN THE BAPTIST SCHOOL,NL,AGC,MacArthur Highway,"Caba, La Union", ,LA UNION,
01-AB-000036,ST. NICOLAS ACADEMY-ILOCOS NORTE,NL,AGC,,"Vintar, Ilocos Norte", , ,
01-AC-000038,SANTIAGO CATHOLIC SCHOOL (HS),NL,AGC,,"Santiago, Ilocos Sur", ,Nueva Segovia,
01-AD-000093,SAN ALBERTO MAGNO ACADEMY (E),NL,AGC,Poblacion,"Tubao, La Union", ,LA UNION,
01-OD-000013,LITTLE FLOWER CHILDREN'S HOME,NL,AGC,"Km 4,","La Trinidad, Benguet", ,Bangued,
01-OA-000046,BASIC CLUES CREATIVE LEARNING CENTER,NL,AGC,"2nd Flr VP Skyview Bldg.,","Magallanes St., Zone 5, Bangued, Abra",,,
01-AC-000010,GREAT HEIGHTS LEARNING CENTER,NL,AGC,"Ground Flr. Marinella Comm'l Complex,","Govantes Dike, Zone V,Bantay, Ilocos Sur", , ,
01-OD-000012,IMM. CONCEPCION SCHOOL OF BENGUET,NL,AGC,Poblacion,"Bokod, Benguet", ,BAGUIO,
01-AD-000047,ST. MARY'S OF THE SEA ACADEMY,NL,AGC,Centro,"Sto. Tomas, La Union", ,LA UNION,
01-AD-000053,STELLA MARIS ACADEMY (HS),NL,AGC,"Quirino,","Bacnotan, La Union", ,LA UNION,
01-AE-000024,ST. JOSEPH HIGH SCHOOL (E/HS),NL,AGC,"Brgy. 28, Diego Silang St.,",Laoag City, ,Laoag,
01-AB-000018,ST. ELIZABETH ELEM. SCHOOL,NL,AGC,,"Badoc, Ilocos Norte", ,Laoag,
01-AD-000077,UNION SCHOOL OF NAGUILIAN (E/HS),NL,AGC,,"Naguilian, La Union", , ,
01-AB-000023/01-AB-000024,STA. ROSA ACADEMY (E/HS),NL,AGC,"Brgy 3, San Ildefonso","San Nicolas, Ilocos Norte", ,Laoag,
01-AC-000048,ST. CECILIA LEARNING CENTER,NL,AGC,"Brgy. San Nicolas,","Candon City, Ilocos Sur", , ,
01-OD-000017/01-OD-000033,SAN ISIDRO HIGH SCHOOL,NL,AGC,,"Abatan, Buguias, Benguet", ,BAGUIO,
01-AC-000044,ST. AGNES SCHOOL (E/HS),NL,AGC,,, ,Nueva Segovia,
01-AD-000002,AGOO CHRISTIAN LEARNING CENTER,NL,AGC,"#29 San Antonio,","Agoo, La Union", , ,
01-OD-000016,SACRED HEART HIGH SCHOOL,NL,AGC,Poblacion,"Itogon, Benguet", ,BAGUIO,
01-AC-000043,SHEPHERD KIDDIE SCHOOL,NL,AGC,"Brgy. San Jose,","Candon City, Ilocos Sur", , ,
