01-DN-000362,ST. MARTIN MONT. SCHOOL (E/HS),CAJ,"St. Martin Subd.,","Angono, Rizal",,,
01-DN-000041,BINANGONAN CATHOLIC COLLEGE,CAJ,"Poblacion,","Binangonan, Rizal", ,ANTIPOLO,MAPSA
01-DN-000057,CHILD JESUS OF PRAGUE SCHOOL,CAJ,"National Rd., Brgy. Calumpang,","Binangonan, Rizal", , ,RIPRISA
01-DN-000083,DON ANTONIO DEZUZUARREGUI SCH.,CAJ,"Brgy. Inarawan,",Antipolo City,OSJ,,
01-DN-000400/01-DN-000401,TAYTAY UNITED METHODIST X'TIAN SCH.(E/HS),CAJ,"P. Ocampo St., San Isidro,","Taytay, Rizal", , ,RIPRISA
01-DN-000094,FAITH CHRISTIAN SCHOOL - CAINTA,CAJ,"Silva St., Vista Verde Executive Village","Felix Avenue, Cainta, Rizal", , ,RIPRISA
01-DN-000410,TRES NINOS SCHOOL,CAJ,"30 Rita St., San Carlos Hgts. Subd.,","Tayuman, Binangonan, Rizal",RECOLETOS,,RIPRISA
01-DN-000193,LORENZO RUIZ DE MANILA SCHOOL,CAJ,Phase 1 Vista Verde Exec. Vill,"Felix Ave., Cainta, Rizal",,,
01-DN-000414,UNIV. OF RIZAL SYSTEM-MORONG,CAJ,,"Morong, Rizal",,,
01-DN-000415,UNIV. OF RIZAL SYSTEM-TANAY (E/H),CAJ,(Formerly Rizal State College),"Sampaloc St., Tanay, Rizal",,,
01-DN-000371,ST. ROSE OF LIMA MONTESSORI SCHOOL,CAJ,"P. Estrada St., Brgy. Calumpang,","Sto. Cristo, Teresa, Rizal",,,
01-DN-000119,GREENFIELD MONTESSORI SCHOOL,CAJ,E. Rodriguez Avenue,"Tanay, Rizal",,,
01-NG-000057,MOTHER OF DIVINE PROVIDENCE,CAJ,184 Gen. M. Ordonez Street,"Marikina Heights, Marikina City", ,ASP,
01-DN-000044,BLESSED HOPE CHRISTIAN SCHOOL,CAJ,"69 J.P. Laurel St.,","Tanay, Rizal", , ,RIPRISA
01-DN-000214,MONT. INTEGRATED SCHOOL OF ANTIPOLO,CAJ,"#1 Ninoy Aquino Blvd.,","Brgy. dela Paz, Antipolo City",,,
01-DN-000311/01-DN-000312,SAN ILDEFONSO COLLEGE (E/HS),CAJ,,"Tanay, Rizal", ,ANTIPOLO,RIPRISA
01-DN-000353,ST. JOHN THE BAPTIST PAROCHIAL SCH.,CAJ,"Sumulong St.,","Brgy. San Isidro, Taytay, Rizal",,,
01-DN-000169,KNIGHT & ARCHERS MONTESSORI SCHOOL,CAJ,"Nat'l Rd.,","Brgy. Pag-asa, Binangonan, Rizal", , ,RIPRISA
01-DN-000343,ST. CLARE MONTESSORI SCHOOL,CAJ,"#18 C. Lawis St.,",Antipolo City, ,,RIPRISA
01-DN-000291,RICH GOLDEN SHOWER MONT. CTR.,CAJ,"Mont. Lane Rancho Bueno, MLQU cor Botong","Francisco Sts., Antipolo City", , ,Family Business
01-DN-000288,RAISES ACADEMY-BINANGONAN,CAJ,"Manry Village, Pag-Asa,","Binangonan, Rizal",,,
01-DN-000289,REBECCA ERNESTO CAMILLO SCH.(R.E.C),CAJ,"B-8 L-20-22 Ph-II,Brgy. San Luis,","Bagong Nayon II,Padilla, Antipolo City", , ,RIPRISA
01-DN-000374,ST. THERESE SCHOOL OF TANAY,CAJ,"P. Burgos St.,","Tanay, Rizal", , ,RIPRISA
01-DN-000042,BINANGONAN GARDEN OF LEARNERS,CAJ,"#290 Sta. Ursula Subd.,","Bating, Binangonan, Rizal", ,,RIPRISA
01-DN-000314,SAVIOUR SCHOOL,CAJ,"GSIS, Cogeo Village,",Antipolo City, , ,RIPRISA
01-DN-000132,CHILD JESUS OF PRAGUE SCHOOL (HS),CAJ,"Manila East Rd.,","Batingan, Binangonan, Rizal", ,,RIPRISA
01-DN-000424,WESLEYAN ACADEMY,CAJ,"109 St. Joseph Drive,","St. Joseph Subd. Cainta, Rizal", , ,RIPRISA
01-DN-000153,JIANE THERESE INTERNATIONAL SCHOOL,CAJ,"National Rd., Linis Sipsipin,","Jala-Jala, Rizal", ,,RIPRISA
01-DN-000136,HOLY SPIRIT INTEGRATED SCHOOL,CAJ,"G15-104 St. Anthony St.,","Milagros Subd., Antipolo City",,,
01-DN-000287,RAISES ACADEMY-ANGONO,CAJ,"231 Sumulong St.,","Brgy. San Pedro, Angono, Rizal",,,
01-DN-000033,ASIAN HOPE CHRISTIAN ACADEMY,CAJ,Lico Bridge,"Sampaloc, Tanay, Rizal", , ,RIPRISA
01-DN-000417,VALLEY VIEW ACADEMY,CAJ,,"Valley Golf, Cainta, Rizal",,,
01-DN-000180,LIGHT BEARER CHRISTIAN ACADEMY,CAJ,"Gate II, Karangalan Village,","Cainta, Rizal",,,
01-DN-000299,SACRED HEART CATHOLIC SCH.-CAINTA,CAJ,"0155 St. Louis St., Brookside","Hills Subd., Cainta, Rizal", , ,MAPSA/ Diocese of Cainta
01-DN-000475,THE BLESSED ACHIEVERS LEARNING CENTER,CAJ,,,,,
01-DN-000290,RECOLETOS ACADEMY,CAJ,"B-23 L-16 Sterling St.,","Lores Country Homes, Antipolo City",,,
01-DN-000377,STA. DOROTEA ACADEMY,CAJ,,"Teresa, Rizal",,,
01-NG-000003,CELESTIAL VILLAGE ACADEMY,CAJ,(Children Vill. Educ'l ) Ed76 Southwest,"Ipil St.,Marikina Heights, Marikina City", , ,RIPRISA
01-DN-000376,STA. CLARA DE ANTIPOLO,CAJ,"Rd. I Lot 2, cor Rd. 7, Ph-IV","Cogeo Village(Loob), Antipolo City",,,
01-DN-000068,COL. DE SAN CLEMENTE,CAJ,,"Angono, Rizal", ,ANTIPOLO,MAPSA
01-DN-000443,JUSTO LEARNING ACADEMY,CAJ,,,,,
01-DN-000308/01-DN-000309,SAN FRANCISCO PARISH SCHOOL-E/HS,CAJ,"Pauna St.,","Cardona, RizaL", ,ANTIPOLO,MAPSA
01-DN-000349,ST. JEROME'S ACADEMY (E/HS),CAJ,"Turenticile St., San Jose,","Morong, Rizal",,,
01-DN-000080,DIVINE MERCY LEARNING CENTER,CAJ,"Sietemedia St., Circumferencial Rd.,",Antipolo City,,,
01-DN-000223/01-DN-000224,MOTHER GOOSE MONT. SCH. (E/PE) ,CAJ,# 24 M. Santos St, Antipolo City, , ,RIPRISA
01-DN-000318,SENORA DELA PAZ ACADEMY,CAJ,"C. Lawis Ext. Purok Dalisay,","Bo. San Isidro, Antipolo City",,,
01-DN-000350,ST. JOHN HILL ACADEMY,CAJ,"#011 Calero,","Morong, Rizal",,,
01-DN-000258,PAREF ROSEHILL SCHOOL,CAJ,"Sta. Monica Estate,","Mission Hills, Antipolo City", , ,
01-DN-000403,THE LITTLE FARM HOUSE DEV'TCTR,CAJ,"#95 Beverly Hills Ave.,","Beverly Hillls Subd., Taytay, Rizal", , ,Family Business
01-DN-000373,ST. THERESE OF LISIEUX SCHOOL,CAJ,"888 Sampaguita St., Midtown Village,","Brgy. San Andres, Cainta, Rizal",,,
01-DN-000422,VISTA VERDE LEARNING CENTER,CAJ,"Moncada St., Vista Verde Exec. Village,","Cainta, Rizal",,,
