81-EG-000002,Andres Soriano Jr. Memorial School,MAG,,"AROROY, MASBATE",,Masbate,
82-FG-000323/C2-FG-000323,Central Philippine University,ALB,"LOPEZ JAENA ST.,","JARO, ILOILO CITY",,,Iloilo City
82-FA-000008,Aklan Learning Center,ALB,,"ROXAS AVE. EXT., KALIBO, AKLAN",,,"Kalibo, Aklan"
82-FF-000208,St. Paul School - Btac Nuevo,ALB,,"BTAC. NUEVO, ILOILO",SPC,,
82-FG-000258/C2-FG-000258,University of San Agustin,ALB,,"SAMBAG, JARO, ILOILO CITY",OSA,,
82-FD-000039/C2-FD-000039,FILAMER CHRISTIAN UNIVERSITY,ALB,,"ROXAS AVE., ROXAS CITY",Baptist,,
82-FD-000099,St.Mary's Academy of Capiz,ALB,"BURGOS ST.,",ROXAS CITY,RVM,,
82-FG-000335,St.Joseph School- Manduriao,ALB,"DIVERSION RD.,","MANDURRIAO, ILOILO CITY",,,iloilo
82-FD-000104/82-FD-000097/82-FD-000024,COL DELA PURISIMA CONCEPCION-PE/E/HS,ALB,,,,Capiz,
82-FD-000027,College of St. John,ALB,,"GOV. ARILA BALGOS AVE.,BANICA,ROXAS CITY",Lasalle  Bro,,
82-FA-000050,Aklan Catholic College,ALB,,"KALIBO, AKLAN",,Kalibo,
82-FG-000327,West Visayas State University - ILS Dept.,ALB,,"LAPAZ,ILOILO CITY",,,Iloilo City
82-FF-000278,Mater Carmeli High School,ALB,,"DINGLE, ILOILO",Carmelite,,
82-FD-000125,"HERCOR COLLEGE, INC.",ALB,,"LAWA-AN, ROXAS CITY, CAPIZ",,,
82-FD-000010,Capiz Commercial School,ALB,,"PUNTA TABUC, ROXAS CITY",,,Roxas City
82-FA-000049,Bloomfield International Academy,ALB,,"BALABAG, BORACAY, MALAY, AKLAN",,none sect,"Boracay, Aklan"
82-FF-000246/C2-FF-000246,Colegio de la Immaculada Conception,ALB,,"POTOTAN, ILOILO",FI,,
82-FD-000070,Pontevedra Christian School,ALB,,"PONTEVEDRA, CAPIZ",Baptist,,Capiz
82-FF-000105/C2-FF-000105,Iloilo King of Glory Christian Academy,ALB,"VILLA PATERNA SUBD.,","BRGY. CANO-AN, ESTANCIA, ILOILO",Protestant,,Iloilo Province
82-FF-000268,Hijas de Jesus School,ALB,,"ESTANCIA, ILOILO",FI,,
82-FF-000269,San Juan Academy,ALB,"VICTORINO SALCEDO ST.,","SARA, ILOILO",,,Iloilo Province
82-FG-000320,University of Iloilo,ALB,"RIZAL ST.,",ILOILO CITY,,,antique
82-FD-000071,PRESIDENT MANUEL ROXAS MEM'L SCHOOL,ALB,,ROXAS CITY,,,
82-FG-000057,Children's Integrated School,ALB,"ALTA TIERRA VILLAGE,","JARO, ILOILO CITY",,,Iloilo City
82-FA-000061,MONFORT TECHNICAL INSTITUTE,ALB,"BRGY POBLACION, NEW WASHINGTON","KALIBO, AKLAN",,,
82-FF-000076,Estancia SDA Multigrade School/WVC,ALB,,"NORTH CUDILLA AVE., ESTANCIA, ILOILO",SDA - VIS,,Iloilo Province
82-FF-000242,Assumption - Passi,ALB,,"SALIGUMBA ST., PASSI CITY",RA,,
82-FA-000040,St. Anne Montessori School,ALB,CAPITOL SITE,"IGTANTOC-RUIZ BLDG., KALIBO, AKLAN",,,
82-FA-000052,Wadeford School (PAREF),ALB,,"KALIBO, AKLAN",,,"Kalibo, Aklan"
82-FA-000018,Conperey Learning Center,ALB,,"CATICLAN, MALAY, AKLAN",,,Aklan
82-FE-000025,St. Joseph School of Hijas de Jesus,ALB,,"SAN MIGUEL, JORDAN, GUIMARAS",FI,,
82-FA-000007,Aklan Inter Faith Academy,ALB,,"QUEZON AVE. EXT., KALIBO, AKLAN",Baptist,,"Kalibo, Aklan"
82-FF-000273,West Visayan Academy,ALB,,"BONGCO, POTOTAN, ILOILO",SDA - VIS,,iloilo
82-FD-000060/C2-FD-000060,Our Lady of Fatima Academy,ALB,,"DAO, CAPIZ",OP-Molo,,
82-FF-000249,Georgia International School,ALB,,"SAVANNAH CAMPUS, OTON, ILOILO",,,iloilo
82-FD-000102,Parish School of St. Isidore,ALB,"ISIDRO DRIVE, POBLACION","PONTEVEDRA, CAPIZ",OP - Rosarian Dominican,Capiz,
82-FF-000264,Eucharistic King Academy,ALB,,"SARA, ILOILO",OP-Molo,,
82-FA-000043,Starglow Center for Academics & Arts,ALB,,"KALIBO, AKLAN",,,"Kalibo, Aklan"
82-FG-000010,Assumption School,ALB,,"GEN. LUNA ST., ILOILO CITY",RA,"Jaro, Iloilo",
82-FF-000103,Iloilo Christian School,ALB,,"BTAC. NUEVO, ILOILO",Baptist,,Iloilo Province
82-FF-000210,St. Paul School - Btac Viejo,ALB,,"BTAC. VIEJO, ILOILO",SPC,,
82-FA-000029,Marian High School - Ms. Torres,ALB,,"KALIBO, AKLAN",,,"Kalibo, Aklan"
82-FD-000093,Step by Step Christian Academy,ALB,,"PONTEVEDRA, CAPIZ",Baptist,,Capiz
82-FF-000271,Sara Fundamental Baptist Academy,ALB,,"SARA, ILOILO",Baptist,,Iloilo Province
82-FD-000062,Our Lady of Grace Academy,ALB,,"LONOY, ROXAS CITY",OP - Rosarian Dominican,,
82-FE-000042,SAN MIGUEL CENTRAL SCH SPED CTR,ALB,,"JORDAN, GUIMARAS",,,
82-FD-000048,Immaculate Heart of Mary Learning Center,ALB,,"DUMARAO, CAPIZ",,,Capiz
82-FF-000275,Doane Baptist Learning Center- Viejo,ALB,,"BTAC. VIEJO, ILOILO",Baptist,,Iloilo Province
82-FD-000064,Our Lady of Snow Institute,ALB,,"DUMARAO, CAPIZ",,Capiz,
82-FG-000075,De Paul College,ALB,,"E. LOPEZ ST., JARO, ILOILO CITY",CM,,
82-FF-000005,Ajuy Christian Development Learning Center,ALB,,"SAN ANTONIO, AJUY, ILOILO",Baptist,,Iloilo Province
82-FF-000250,Goodnew's Learning Center,ALB,SAN MATIAS,"DINGLE, ILOILO",,,iloilo
82-FD-000089,St. Michael's Montessori,ALB,"1 DATILES TANQUE,",ROXAS CITY,,,Roxas City
82-FA-000060,GARCIA COLLEGE OF TECHNOLOGY,ALB,CAPITOL SITE,"KALIBO, AKLAN",,,
82-FA-000055,Central Panay College of Science & Tech.,ALB,,"KALIBO, AKLAN",,,Aklan
82-FA-000081,"RIVER OF KNOWLEDGE FOUND.ACA.,INC.",ALB,,"BANTUD MANOC-MANOC, BORACAY ISLAND",Baptist,,Aklan
82-FF-000270,Sara Aglipayan Christian School,ALB,,"SARA, ILOILO",Aglipay,,Iloilo Province
82-FA-000068,ST. PETER PAROCHIAL SCHOOL,ALB,,"IBAJAY, AKLAN",,,
82-FD-000107,Jamindan Parochial School,ALB,,"JAMINDAN, CAPIZ",,Capiz,
