87-KB-000018/87-KB-000019/C7-KB-000018,Ateneo de Davao Univ-E/HS,CAN,,,SJ,,DACS
87-KC-000047/C7-KC-000047,St. Marys College,CAN,,TAGUM CITY,RVM,Tagum,"DACET, DACS"
87-MF-000005,John Bosco College,CAN,,"MANGAGOY,BISLIG CITY",,Tandag,TADICSA
87-KC-000023,Letran de Davao High School,CAN,,TAGUM CITY,CSCH,Tagum,DACET/DACS
87-KE-000007,Immaculate Heart of Mary Academy,CAN,,"MATI,DAVAO ORIENTAL",MIC,Mati,DACS
87-KB-000218,Phil. Nikkie Jin Kai Intl School,CAN,,"DAMOSA, LANANG, DAVAO CITY",,NA,DACS
87-KC-000062,Markynoll hs of Panabo,CAN,,PANABO CITY,OP (Molo) - Most Holy Rosary,Tagum,DACET/DACS/DOMNET
87-KC-000016,F.Adlaon Learning Institute,CAN,,PANABO CITY,,NA,DACS
87-KC-000005,Assumpta School,CAN,,TAGUM CITY,FMA - Assumption,Tagum,DACET/DACS
87-MF-000022,St. Michael's College,CAN,,"CANTILAN,SURIGAO DEL SUR",SPC,Tandag,TADICSA
87-KC-000038,NORTH DAVAO COLLEGE,CAN,,PANABO CITY,,NA,DACS
87-KC-000006,Assumption Academy of Nabunturan,CAN,,"NABUNTURAN, DAVAO DEL NORTE",FMA - Assumption,Tagum,DACET/DACS
87-MF-000026,ST. VINCENT DE PAUL COLLEGE,CAN,,"MANGAGOY,BISLIG CITY",,Tandag,TADICSA
87-KC-000030,Maryknoll HS of Sto. Tomas,CAN,,"STO. TOMAS,DAVAO DEL NORTE",OP (Molo) - Most Holy Rosary,Tagum,DACET/DACS/DOMNET
87-KC-000028,Maryknoll HS of Maniki,CAN,,"KAPALONG, DAVAO DEL NORTE",OP (Molo) - Most Holy Rosary,Tagum,DACET/DACS/DOMNET
87-KE-000028,MARYKNOLL SCHOOL OF MANAY,CAN,"MANAY,DAVAO ORIENTAL",,TDM,Mati,DACS
87-KC-000004,Arriesgado College Foundation,CAN,,TAGUM CITY,,,DACS
87-KA-000002,Assumption Academy of compostela,CAN,,"COMPOSTELA, COMVAL PROVINCE",FMA - Assumption,Tagum,DACET/DACS
87-KA-000019,St. Vincent Academy of Maragusan,CAN,,"MARAGUSAN, COMPOSTELA VALLEY",OP - Trinity,Tagum,DACET/DACS/DOMNET
87-MF-000032,St. Michael's School of Madrid,CAN,"Madrid, Surigao del Sur",,,Tandag,TADICSA
87-KE-000013,MARYKNOLL HIGH SCHOOL OF CATEEL,CAN,,"CATEEL,DAVAO ORIENTAL",,Mati,DACS
87-MB-000016,Father Urios HS (Bayugan),CAN,Bayugan City,Agusan del Sur,,BUTUAN,ACEA
87-MB-000009,Mt. Carmel College (SF),CAN,,"SAN FRANCISCO,AGUSAN DEL SUR",Ocarm,BUTUAN,ACEA
87-MB-000019,FR. URIOS HIGH SCHOOL-SIBAGAT,CAN,"SIBAGAT,AGUSAN DEL SUR",,,BUTUAN,ACEA
87-KB-000162,Maranatha Christian School,CAN,BLK.3 LOT 2 GALLERA DE ORO,"BAGO, DAVAO CITY",,NA,NA
87-KE-000021,St. Marys College - Baganga,CAN,,"BAGANGA,DAVAO ORIENTAL",RVM,Mati,
87-MF-000012,LA PURISIMA CONCEPTION,CAN,,"TAGO,SURIGAO DEL SUR",,Tandag,TADICSA
87-KC-000098,PANABO CHRISTIAN SCHOOL,CAN,"NAT'L HI-WAY,BRGY.,SAN FRANCISCO","PANABO,DAVAO DEL NORTE",,NA,DACS/ACSI
87-KC-000045,Panabo SDA Learning Center,CAN,,PANABO CITY,SDA - MIN,NA,DACS
87-KB-000092,Ebenezer Christian School of Davao,CAN,,DAVAO CITY,,NA,DACS/ACSI
87-MB-000020,MT.CARMEL HIGH SCHOOL - ROSARIO,CAN,ROSARIO AGUSAN DEL SUR,,Ocarm,BUTUAN,ACEA
87-MF-000025,St. Theresa College,CAN,,"TANDAG, SURIGAO DEL SUR",,Tandag,TADICSA
87-KC-000043,Panabo Faith Mission Academy,CAN,GALA-GALA STREET,PANABO CITY,,NA,DACS/ACSI
87-KC-000071,Bethel UCCP Learning Center,CAN,"MABINI ST.,BGY.SOUTH,TAGUM CITY",,,NA,DACS
87-KB-000258/C7-KB-000258,St. Paul College,CAN,,DAVAO CITY,SPC,,DACS
