01-NA-000289,UNIV. OF THE EAST (E/HS)-KALOOKAN,ARR,Samson rd.,"Samson Rd., Kalookan City", ,,
01-NF-000114/01-NF-000115,HOLY TRINITY ACADEMY (E/HS),ARR,"Calabash Rd.,","Balic-Balic, Sampaloc, Manila",,Manila,MAPSA
01-NF-000364/01-NF-000365,UNIV. OF THE EAST (E/HS),ARR,C. M. Recto Avenue,"C.M. Recto Ave., Manila", ,,
01-NN-000355,JUBILEE CHRISTIAN ACADEMY,ARR,16 F. Manalo St. (F. Manalo Gate),"Cubao, Quezon City", , ,
01-NA-000056,ESCUELA DE SOPHIA OF CALOOCAN,ARR,"B-31 L-1&2 Narra St., Ph.II,","Rainbow Vill.,Bagumbong,Kalookan City", , ,
01-NF-000321/01-NF-000322,ST. SCHOLASTICA'S COLLEGE (E/HS),ARR,"Leon Guinto Street,","Malate, Manila",OSB,,
01-NA-000262,ST. JOSEPH COLL. OF KALOOKAN,ARR,"Rainbow Village V, Congressional Vill.,","Novaliches, Kalookan City", , ,
01-NF-000069,DON BOSCO SCHOOL OF STA. MESA,ARR,#3500 V. Mapa St. Extension,"Sta. Mesa, Manila",FMA ,,
01-NF-000243,PHIL. CULTURAL HIGH SCHOOL-TONDO,ARR,"#1253 Jose Abad Santos St.,","Tondo, Manila", , ,
01-NA-000206,PHIL. CULTURAL HIGH SCHOOL E/H-KALOOKAN,ARR,# 175 8th Avenue Extension,"Grace Park, Kalookan City", , ,
01-NF-000323/01-NF-000324,ST. STEPHEN'S HIGH SCHOOL (E/HS),ARR,"G. Masangkay St.,","Sta. Cruz, Manila", , ,
01-NF-000366,UNO HIGH SCHOOL  (E/HS),ARR,"#1259 Mayhaligue St.,","Tondo, Manila", , ,
01-NF-000280/01-NF-000281,SAN SEBASTIAN COLLEGE (E/HS),ARR,C. M. Recto Avenue,"C.M. Recto Ave., Manila",,,
01-NN-000753/01-NN-000754,STELLA MARIS COLLEGE (E/HS),ARR,Cambridge Street,"Cubao, Quezon City",FMM,,
01-NF-000205,NAZARETH SCHOOL,ARR,(Formerly Nazareth School),"272 Plaza Sta. Teresita,Sampaloc, Manila",FI,,
01-NA-000157/01-NA-000158,MANILA CENTRAL UNIVERSITY (E/HS),ARR,EDSA,Kalookan City, ,,
01-NA-000100,HOLY REDEEMER SCHOOL (E/HS),ARR,"Lot 7, Franville Subdivision","Camarin, Kalookan City", , ,
01-NF-000300,ST. JOSEPH SCHOOL OF TONDO,ARR,"Juan Luna St.,","Gagalangin, Tondo, Manila", ,,MAPSA
01-NQ-000112,ST. MICHAEL SCHOOL OF CANUMAY,ARR,"Pia Donesa St.,","Bo. Canumay, Valenzuela City", , ,VALAPSA
01-NF-000262,REGINA APOSTOLORUM ACADEMY,ARR,"4700 Valenzuela St.,","Sta. Mesa, Manila", , ,
01-NF-000111,HOLY HEART CHRISTIAN ACADEMY,ARR,"1307 Diokno St., cor","Batangas St.,Sta. Cruz, Manila", , ,
01-NA-000057,ESCUELA SAN GABRIEL DE ARCHANGEL,ARR,"P 9 Pkg. 6, Blk.12 Lot 1","Bagong Silang, Kalookan City", , ,
01-ND-000077,ST. THERESE OF THE CHILD JESUS,ARR,"#22 Adante St., Tañong,","Malabon, Metro Manila", ,,
01-NF-000200,NATIONAL HIGH SCHOOL,ARR,"551 Jocson St.,","Sampaloc, Manila", , ,
01-NA-000011/01-NA-000012,BAESA ADVENTIST ACADEMY (E/HS),ARR,"#8 Baesa Road,",Kaloocan City,SDA - NCR, ,SDA
01-ND-000031,HIGHER GROUND BAPTIST ACAD. FDT. INC.,ARR,"(INT'L BAPTIST ACAD.)#6 Ma. Clara St.,","Acacia Rd.,Malabon, Metro Manila", , ,
01-NA-000069,GENESIS CHRISTIAN ACAD.-BAGONG SILANG,ARR,"Ph. 9, Package 5, Blk 50 Lot 789,","Bagong Silang, Kalookan City", , ,
01-NA-000124,KALOOKAN BETHEL CHRISTIAN SCH.,ARR,504 A. mabini st.,"504 A. Mabini St., Kalookan City", , ,
01-NF-000327,ST. VINCENT LEARNING CTR-SANCHOPANZA,ARR,"536 Sanchopanza St.,","Sampaloc, Manila", , ,
01-NA-000325,NEWLAND CENTER FOR EDUCATION,ARR,"633 La Fortaleza Subd. Camarin,",Caloocan City,,,
01-NA-000245,ST. ANDREW SCHOOL-KALOOKAN (E/H),ARR,"Ninang Virginia, B.F. Homes","Novaliches, Kalookan City", , ,
01-NA-000292,MASTER HANDS LEARNING SCHOOL,ARR,"200 3-C A. Mabini St.,","Maypajo, Kalookan City", , ,
01-NF-000325,ST. VINCENT BLESSED SCHOOL OF MANILA,ARR,"732 Instruccion St.,","Sampaloc, Manila", , ,
01-NF-000284,SHILOH CHRISTIAN ACADEMY,ARR,"C-2 Capulong cor J.P. Rizal Sts.,","Tondo, Manila", , ,
01-NF-000279,SAN RAFAEL PAROCHIAL SCHOOL,ARR,"177 Taliba St., San Rafael Village,","Balut, Tondo, Manila",,Manila,MAPSA
01-NA-000274,ST. THERESE OF AVILA ACADEMY,ARR," B-7 L-1 Ph. 4, Tierra Nova Royal,","Bagumbong, Kalookan City", , ,
01-NA-000208,PLEDGE OF LOVE SCHOOL,ARR,"244 Kabutuhan Rd.,","Deparo, Kalookan City", , ,
01-ND-000001,ACADEMIA DE SAN NICOLAS (ERG),ARR,(Frmly ERG Memorial College),"28 Leano St., Tanong, Malabon, MM", , ,
01-NA-000032,CASA DE SOLEIL CHILD DEV'T CENTER,ARR,"175 Velasco Ext.,","Sangandaan, Kalookan City", , ,
01-NN-000315,IMM. MOTHER SCHOOL-COMMONWEALTH,ARR,# 872 St. Joseph StreetC,"Commonwealth Ave., Quezon City",,,
01-NA-000314,ST. CATHERINE OF SIENA ACADEMY OF NOVA,ARR,"BLK. 22 LOT 33, DOLMAR GOLDEN HILLS","LLANO, CALOOCAN CITY", , ,
01-NF-000344,THE LORD IS MY SHEPHERD LRNG. CTR.,ARR,"2361-B Juan Luna St.,","Gagalangin, Tondo, Manila", , ,
01-NF-000077,EMILIO AGUINALDO EDUC'L CORP. BOOKSTORE,ARR,"1113-1117 San Marcelino St.,","Ermita, Manila", ,,
01-NF-000389,EMILIO AGUINALDO COLLEGE,ARR,"UN Ave. Ermita, Manila",Manila,,,
01-NF-000348/01-NF-000349,TIONG SE ACADEMY  (E),ARR,"708 Sta. Elena St.,","Binondo, Manila", , ,
01-NF-000229/01-NF-000230,PACO CITIZEN ACADEMY (E/HS),ARR,646-650 Paz St.,"Paco, Manila", , ,
01-NA-000243,SILVER LINKS SCHOOL,ARR,"378 Gen. Luis St.,","Novaliches, Kalookan City", , ,
01-NA-000081,GRACELAND CHRISTIAN COLLEGE,ARR,"165 Deparo Rd.,",Kalookan City, , ,
01-NF-000313,ST. PAUL GRADE SCHOOL,ARR,"#1232 Sta. Maria St.,","Tondo, Manila", ,,
01-NA-000110,IMM. MOTHER ACADEMY-CLAMOR BAGOMBONG,ARR,Clamor Compound,"Bagombong, Kalookan City", , ,
01-NA-000113,INSTITUTO DE STO. NINO,ARR,"(Frmly Sto. Nino L.C.)117  Drexel St.,","Univ. Hills Subd., Kalookan City", , ,
01-NF-000358/01-NF-000359,UNIV. OF MANILA (E/HS),ARR,"M. Delos Santos St.,","Sampaloc, Manila", , ,
01-NA-000271,ST. RAPHAELA MARY SCHOOL,ARR,"(Frmly St. Paul Sch.)#63 Road 7,","GSIS Hills,Nova. Kalookan City", , ,
01-NN-000071,BOOK CENTER (OLLSN-HPTC),ARR,c/o Our Lady of Lourdes School,"Zabarte Subd., Novaliches, QC", , ,
01-ND-000075,ST. MICHAEL LRNG. CTR.-POTRERO,ARR,"32-B. Bagong Lote, (inside of Araneta","U. Village) Potrero, Malabon, M.M.", , ,
01-NA-000296,"CHRIST JEROSS CHRISTIAN ACADEMY, INC.",ARR,Phase 10A Pkg1 Blk 4 Lot6-11,"Bagong Silang, Caloocan City", , ,
01-NF-000045,CHRISTIAN ACADEMY OF MANILA,ARR,3041 Nagtahan St. ,"#3041 Nagtahan St., Manila", , ,
01-NI-000003,DAANGHARI ADVENTIST ELEM. SCH.,ARR,"516 Gov. A. Pascual Ave.,","Navotas, Metro Manila",SDA - NCR, ,SDA
01-NF-000316,ST. PIUS X PAROCHIAL SCHOOL(E/H),ARR,"7th St., cor Neptune St.,","Onyx Ave., Paco, Manila", ,Manila,MAPSA
01-NN-000128,COMMONWEALTH ADV. ELEM. SCHOOL,ARR,"1119 IBI Rd., Commonwealth","near Batasan Hills, Quezon City",SDA - NCR, ,SDA
01-NA-000302,GATE OF HEAVEN ACADEMY,ARR,"B-8 L-1 Phase I,","Senate Village, Caloocan City", , ,
01-NN-000506/01-NN-000507,NEW JERUSALEM SCHOOL (E/HS),ARR,"#37 D. Tuazon Ave.,",Quezon City, , ,
01-NF-000051,COL. DE STA. ROSA (E/HS),ARR,"Sto. Domingo St.,","Intramuros, Manila",AR,,
01-NN-000048,BENEDICTINE INTERNATIONAL SCHOOL,ARR,"(Fmrly Benedictine Abby)Manotoc Drive,","Capitol Hills, Diliman, Q.C.", , ,
