01-OD-000034,PHILEX MINES ELEMENTARY SCHOOL,,AGC,"Pacdal,","Tuba, Benguet", ,BAGUIO,
01-OD-000006/01-OD-000007,CORDILLERA CAREER DEV'T COLL. (E/HS),,AGC,"W, Buyagan, Poblacion,","La Trinidad, Benguet", , ,
01-OA-000015/01-OA-000016,DIVINE WORD COLL. OF BANGUED-E/H,,AGC,"Centro Zone 6,","Bangued, Abra",SVD,Bangued,
01-OD-000018/01-OD-000030,SAN JOSE ELEM./HIGH SCHOOL,,AGC,"Poblacion,","La Trinidad, Benguet",SIHM,BAGUIO,
01-OA-000011/01-OA-000043,HOLY SPIRIT ACADEMY (E/HS)-BANGUED,,AGC,Parish House,"Bangued, Abra", ,Bangued,
01-AD-000054,UNION CHRISTIAN COLLEGE (E/H),,AGC,"Widdeos St.,","San Fernando City, La Union", , ,
01-AE-000008,HOLY SPIRIT ACADEMY OF LAOAG,,AGC,"Bonifacio St.,","Laoag City, Ilocos Norte", , ,
01-AD-000030,SACRED HEART SCHOOL,,AGC,"Nera St., Brgy. Central East","Bauang, La Union",FMA - Assumption,LA UNION,
01-AC-000004,CABUGAO INSTITUTE (HS),,AGC,"Bonifacio,","Cabugao, Ilocos Sur", , ,
01-OA-000021,HOLY GHOST SCHOOL,,AGC,,"Poblacion, Tayum, Abra", ,Bangued,
01-AB-000008,IMM. CONCEPCION ACADEMY,,AGC,"1-S Barangay Valdez, Poblacion","Batac City, Ilocos Norte",SSpS, ,
01-AC-000076,DIVINE WORD COLLEGE OF VIGAN (HS),,AGC,"Burgos St.,","Vigan City, Ilocos Sur",,,
01-AE-000005,DON MARIANO MARCOS STATE-LAOAG,,AGC,,Laoag City, , ,
01-OD-000025,ST. PAUL'S ACADEMY,,AGC,Poblacion,"Sayang, Atok, Benguet", ,BAGUIO,
01-AD-000003,AGOO MONTESSORI LEARNING CENTER,,AGC,"Aspiras Road Brgy. San Antonio,","Agoo, La Union", , ,
01-AE-000023,SAVIOUR CHRISTIAN ACAD.-LAOAG,,AGC,"B. Samonte St.,",Laoag City, , ,
