01-NN-000031/01-NN-000032,ATENEO DE MANILA UNIV. (E/HS),VAS,"Rm 210 Xavier Hall, ADMU, Katipunan, Loyola Hts,QC","Diliman, Quezon City",,,
01-NN-000467,MIRIAM COLLEGE (E/HS),VAS,"Katipunan Ave, Loyola Hts, Quezon City","Diliman, Quezon City",,,
01-NO-000037,XAVIER SCHOOL,VAS,"64 Xavier St, West Greenhills, San Juan,M.M.","San Juan, Metro Manila",,,
01-NN-000733/01-NN-000734,ST. THERESA'S COLLEGE (E/HS),VAS,"116 D. Tuazon Ave.,",Quezon City,,,
01-NC-000015/01-NC-000016,DON BOSCO TECHNICAL INST. (E/HS),VAS,"Chino Roces Ave.,","Pasong Tamo, Makati City",,,
01-NO-000029,"O.B. MONTESSORI CENTER, INC.",VAS,"3 Eisenhower St, Greenhills, San Juan, M.M.","San Juan, Metro Manila",,,
01-NO-000014,IMM. CONCEPTION ACADEMY (E/HS),VAS,"10 Grant St, West Greenhills, San Juan","West Greenhills, San Juan, M. M.",,,
01-DN-000034,ASSUMPTION ANTIPOLO,VAS,"Sumulong Highway, Antipolo City",Antipolo City,FMA,,
01-NB-000032,ELIZABETH SETON SCHOOL (E/HS),VAS,"B.F. Resort Village,","Pamplona, Las Pinas City",, ,laprissa 
01-DN-000326,SIENA COLLEGE OF TAYTAY (E/HS),VAS,Rodriguez Street,"Taytay, Rizal",OP-SIENA,,
01-NN-000415/01-NN-000416,LOURDES SCHOOL OF Q.C. (E/PE/HS),VAS,"Kanlaon cor Don Manuel St, Sta Mesa Hts, QC",Kanlaon Quezon City,OFM CAP,,
01-NE-000065,ST. PEDRO POVEDA COLLEGE,VAS,"EDSA cor Poveda St, Mandaluyong City","Edsa/Ortigas Ave.,Mandaluyong City",,,
01-DN-000307,COLLEGE OF SAN BENILDO - RIZAL,VAS,frmly:San Benildo Integrated School,"Marcos Highway & Sumulong Highway, Rizal", , ,LASSO
01-NJ-000060,SOUTHVILLE INTERNATIONAL SCHOOL,VAS,"136 Elizalde St.,","BF Homes, Paranaque City",,,
01-ND-000072/01-ND-000073,ST. JAMES ACADEMY- E/HS,VAS,"Jose Rizal Ave., Ext., San Agustin,","Malabon, Metro Manila",,KALOOKAN,
01-NC-000001/01-NC-000002,"ASSUMPTION COLLEGE, INC. (E/HS)",VAS,"San Lorenzo Drive, San Lorenzo Village,Makati",Makati City,,,
01-DN-000305/01-DN-000306,SAN BEDA COLLEGE-(E/HS)TAYTAY,VAS,"Hilandpoint,","Brgy. San Juan, Taytay, Rizal", ,OSB,
01-DD-000239,ELIZABETH SETON SCH.-IMUS,VAS,"Anabu II-D,","Imus, Cavite", , ,caps
01-NE-000038/01-NE-000039,LOURDES SCH.OF MANDALUYONG (E/HS),VAS,"Apo St., Shaw Blvd.,",Mandaluyong City,OFM,,
01-NE-000014,DON BOSCO TECHNICAL COLL.-MANDALUYONG,VAS,"Kalentong St.,",Mandaluyong City,,,
01-DN-000174/01-DN-000175,LA SALLE - ANTIPOLO (E/HS),VAS,San Luis,"Brgy. San Luis, Antipolo City",FSC - La Salle,,LASSO
01-NH-000094,SOUTHRIDGE SCHOOL,VAS,"Hillsborough Subdivision, Alabang, Muntinlupa","Alabang, Muntinlupa City",,,
01-NL-000142,DOMUSCHOLA INTERNATIONAL SCHOOL,VAS,"Dorm 1 Molave St, Bo Ugong, Pasig City",,,,
01-NN-000885,THE BEACON INTERNATIONAL SCHOOL,VAS,"PCPD Bldg, 2332 Chino Roces Ave, Makati City",,,,
01-NN-000887,ROMARINDA INTERNATIONAL SCHOOL,VAS,"Corrina Subd, Pasong Tamo,Tandang Sora, QC",,,,
01-NC-000070,SINGAPORE SCHOOL OF MANILA,VAS,"Blk 5 Lot4-5 , Paseo de Magallanes, Makati city","Paseo de Magallanes, Makati City",,,
01-NJ-000182,SINGAPORE SCHOOL OF MANILA,VAS,,,,,
01-NL-000152/01-NN-000871,REEDLEY INTERNATIONAL SCHOOL,VAS,,,,,
01-NN-000872,MULTIPLE INTELLIGENCE INTERNATIONAL SCH.,VAS,"4 Escaler St, Loyola Heights,QC",,,,
01-NJ-000179,SOUTHFIELD INTERNATIONAL CHRISTIAN ACAD.,VAS,"84 Amity Extn,Annex 7, Betterliving Subd, Paranaque City",,,,
01-NN-000888,BRITESPARK INTERNATIONAL SCHOOL,VAS,"IDC Bldg, E Rod Ave, Bo Ugong, Pasig City",,,,
01-NK-000063,MAHATMA GANDHI INTERNATIONAL SCHOOL,VAS,,,,,
01-NC-000097/01-NN-000886,AUSTRALIAN INTERNATIONAL SCHOOL,VAS,"NCP Compound, 2332 Chino Roces Ave, Makati City",,,,
01-NF-000227,PACO CATHOLIC SCHOOL (MAPSA),SAG,"Paz St.,","Paco, Manila", ,Manila,MAPSA
01-NM-000009,PATEROS CATHOLIC SCHOOL,SAG,338 B. Morcilla Street,"Pateros, Metro Manila",,PASIG,
01-NL-000083,PASIG CATHOLIC COLLEGE (E/HS),SAG,"Malinao St.,",Pasig City,,PASIG,
01-DN-000053,CAINTA CATHOLIC COLLEGE,SAG,A. Bonifacio Avenue,"Cainta, Rizal",,,DACSA
01-NL-000110/01-NL-000111,ST. PAUL COLLEGE - PASIG (E/HS),SAG,"St. Paul St.,","Meralco Ave., Pasig City",SPC,,
01-DN-000255,OUR LADY OF PEACE SCHOOL,SAG,"P. Oliveros St.,  Barangay San jose", Antipolo City,SPC,,
01-NC-000079,ST. PAUL COLLEGE - MAKATI,SAG,P. Burgos Street,Makati City,SPC,,
01-NN-000311/01-NN-000312,IMM. CONCEPTION PARISH SCH.(E/HS)-CUBAO,SAG,"39 Lantana St.corner st.michael sts.,Immaculate","Cubao, Quezon City", ,CUBAO,MAPSA
01-NN-000626,SCH. OF THE HOLY SPIRIT (E/H),SAG,"B.F. Homes,","Capitol Hills, Quezon City",SSPS,,
01-NA-000131,LA CONSOLACION COLL.-KALOOKAN-E/H,SAG,A. Mabini Street,Kalookan City,OSA,,
01-NJ-000074,ST. PAUL COLLEGE - PARANAQUE,SAG,"Quirino Avenue,","La Huerta, Paranaque City",SPC,,
01-CC-000479/01-CC-000480,ST. PAUL COLL. - BOCAUE (E/HS),SAG,Poblacion,"Bocaue, Bulacan",SPC,,
01-CH-000029,DOMINICAN SCHOOL OF TARLAC,SAG,McArthur Hiway,"Capas, Tarlac",OP-TARLAC,TARLAC,
01-DB-000080,LA CONSOLACION SCHOOL-OLFA (TANAUAN),SAG,"A. Mabini Avenue, Barangay 2","Tanauan City, Batangas",OSA,,
01-NF-000345,THE NAZARENE CATHOLIC SCHOOL-QUIAPO,SAG,(Frmly Quiapo Parochial School) - this is correct,"1053 Rd. Hidalgo,Quiapo, Manila",,Manila,MAPSA
01-NN-000729,ST. PAUL UNIVERSITY - Q. C. (E/HS),SAG,"Aurora Blvd.,","cor. Gilmore Ave., Quezon City",SPC,,
01-NO-000031,ST. JOHN THE BAPTIST CATH. SCH-SAN JUAN,SAG,(Frmly: Holy Child Parochial School) - this is correct,"Pinaglabanan St.,San Juan, M.M.",,Manila,MAPSA
01-CC-000018/01-CC-000019,ASSUMPTA ACADEMY (E/HS),SAG,"Brgy. Matimbo Road, San Jose","Bulacan, Bulacan",OSA,,
01-CC-000530,LA CONSOLACION UNIVERSITY PHILIPPINES,SAG,Catmon,"Malolos, Bulacan",OSA,,MACIPRISA
01-DF-000247,LA CONSOLACION SCH. - BINAN,SAG,Sto. Tomas,"Binan, Laguna",OSA,,
01-CC-000235,LA CONSOLACION SCH. - BULACAN,SAG,Longos,"Balagtas, Bulacan",OSA,,
01-NL-000053,LA CONSOLACION SCHOOL - PASIG,SAG,"Mercedez Avenue,",Pasig City,OSA,,
01-NF-000147/01-NF-000148,LA CONSOLACION COLL.-MANILA (E/HS),SAG,#8 Mendiola St.,"Mendiola, Manila",OSA,,
01-NQ-000105/01-NQ-000106,LA CONSOLACION COLLEGE VALENZUELA (E/HS),SAG,"St. jude Street, Malinta","Malinta, Valenzuela City",OSA,,
